the: その
learn: 学ぶ
plant: 植物
cover: カバー
food: 食品
sun: 太陽
four: 四
between: 間に
state: 状態
keep: 保つ
eye: 目
never: 決して
last: 最後の
let: させる
thought: 考え
city: 都市
tree: 木
cross: 十字
farm: 農場
hard: 難しい
start: 開始
might: かもしれない
story: 物語
saw: 見た
far: 遠く
sea: 海
draw: 描く
left: 左
late: 遅い
run: 走る
don't: しないで
while: しばらくの間
press: プレス
close: 閉じる
night: 夜
real: 真実の
life: 生活
few: 少数の
north: 北
open: 開く
seem: ～のように見える
together: 一緒に
next: 次の
white: 白
children: 子供たち
begin: 始める
got: 取得した
walk: 歩く
example: 例
ease: 容易さ
paper: 紙
group: グループ
always: いつも
music: 音楽
those: それら
both: 両方
mark: マーク
often: しばしば
letter: 手紙
until: ～まで
mile: マイル
river: 川
car: 車
feet: 足
care: 世話
second: 二番目
book: 本
carry: 運ぶ
took: 取った
science: 科学
eat: 食べる
room: 部屋
friend: 友達
began: 始まった
idea: アイデア
fish: 魚
mountain: 山
stop: 止まる
once: 一度
base: ベース
hear: 聞く
horse: 馬
cut: 切る
sure: 確か
watch: 見る
color: 色
face: 顔
wood: 木材
main: 主要な
enough: 十分な
plain: 平原
girl: 女の子
usual: 通常の
young: 若い
ready: 準備ができた
above: 上記
ever: 今まで
red: 赤い
list: リスト
though: ～だけれども
feel: 感じる
talk: 話す
bird: 鳥
soon: すぐに
body: 体
dog: 犬
family: 家族
direct: 直接
pose: 姿勢
leave: 去る
song: 歌
measure: 測定
door: ドア
product: 製品
black: 黒
short: 短い
numeral: 数字
class: クラス
wind: 風
question: 質問
happen: 起こる
complete: 完成する
ship: 船
area: 地域
half: 半分
rock: 岩
order: 注文
fire: 火
south: 南
problem: 問題
piece: 断片
told: 教えた
knew: 知っていた
pass: 通過する
since: 以来
top: トップ
whole: 全体
king: 王
space: 宇宙
heard: 聞いた
best: 最高の
hour: 時間
better: より良い
true: 真実の
during: 中に
hundred: 百
five: 五
remember: 覚えている
step: ステップ
early: 早い
hold: 持つ
west: 西
ground: 地面
interest: 興味
reach: 届く
fast: 速い
verb: 動詞
sing: 歌う
listen: 聞く
six: 六
table: テーブル
travel: 旅行
less: より少ない
morning: 朝
ten: 十
simple: 簡単な
several: いくつかの
vowel: 母音
toward: 向かって
war: 戦争
lay: 置く
against: ～に対して
pattern: パターン
slow: 遅い
center: 中心
love: 愛
person: 人
money: お金
serve: サーブ
appear: 現れる
road: 道路
map: 地図
rain: 雨
rule: ルール
govern: 統治する
pull: 引く
cold: 寒い
notice: 注意
voice: 声
unit: ユニット
power: 力
town: 町
fine: 細かい
certain: 確か
fly: 飛ぶ
fall: 落ちる
lead: 導く
cry: 泣く
dark: 暗い
machine: 機械
note: メモ
wait: 待つ
plan: 計画
figure: 数字
star: 星
box: ボックス
noun: 名詞
field: フィールド
rest: 休憩
correct: 正しい
able: できる
pound: ポンド
done: 完了
beauty: 美しさ
drive: 運転する
stood: 立っていた
contain: 含む
front: 前
teach: 教える
week: 週
final: 最終的な
gave: 与えた
green: 緑
oh: ああ
quick: 速い
develop: 開発する
ocean: 海洋
warm: 暖かい
free: 自由な
minute: 分
strong: 強い
special: 特別な
mind: 心
behind: 後ろに
clear: 明確な
tail: 尾
produce: 生産する
fact: 事実
street: 通り
inch: インチ
multiply: かける
nothing: 何も
course: コース
stay: 滞在
wheel: 車輪
full: 満ちた
force: 力
blue: 青い
object: 対象
decide: 決定する
surface: 表面
deep: 深い
moon: 月
island: 島
foot: 足
system: システム
busy: 忙しい
test: テスト
record: 記録
boat: ボート
common: 共通の
gold: 金
possible: 可能な
plane: 飛行機
stead: 代わりに
dry: 乾いた
wonder: 驚き
laugh: 笑う
thousand: 千
ago: 前
ran: 走った
check: チェック
game: ゲーム
shape: 形
equate: 同等にする
hot: 熱い
miss: 逃す
brought: 持ってきた
heat: 熱
snow: 雪
tire: タイヤ
bring: 持ってくる
yes: はい
distant: 遠い
fill: 満たす
east: 東
paint: ペイント
language: 言語
among: 中に
grand: 壮大な
ball: ボール
yet: まだ
wave: 波
drop: 落とす
heart: 心
am: です
present: プレゼント
heavy: 重い
dance: ダンス
engine: エンジン
position: 位置
arm: 腕
wide: 幅広い
sail: 帆
material: 材料
size: サイズ
vary: 異なる
settle: 解決する
speak: 話す
weight: 重さ
general: 一般的な
ice: 氷
matter: 問題
circle: 円
pair: ペア
include: 含む
divide: 分割する
syllable: 音節
felt: 感じた
perhaps: おそらく
pick: 選ぶ
sudden: 突然の
count: 数える
square: 正方形
reason: 理由
length: 長さ
represent: 表す
art: 芸術
subject: 主題
region: 地域
energy: エネルギー
hunt: 狩り
probable: ありそうな
bed: ベッド
brother: 兄弟
egg: 卵
ride: 乗る
cell: 細胞
believe: 信じる
fraction: 分数
forest: 森林
sit: 座る
race: レース
window: ウィンドウ
store: ストア
summer: 夏
train: 列車
sleep: 眠る
prove: 証明する
lone: 一人の
leg: 足
exercise: 運動
wall: 壁
catch: 捕まえる
mount: 取り付ける
wish: 願う
sky: 空
board: ボード
joy: 喜び
winter: 冬
sat: 座っていた
written: 書かれた
wild: 野生の
instrument: 楽器
kept: 保管された
glass: ガラス
grass: 草
cow: 牛
job: 仕事
edge: エッジ
sign: サイン
visit: 訪れる
past: 過去
soft: 柔らかい
fun: 楽しい
bright: 明るい
gas: ガス
weather: 天気
month: 月
million: 百万
bear: ベア
finish: 終える
happy: 幸せ
hope: 希望
flower: 花
clothe: 着せる
strange: 奇妙な
gone: 行った
jump: ジャンプ
baby: 赤ちゃん
eight: 八
village: 村
meet: 会う
root: 根
buy: 買う
raise: 上げる
solve: 解決する
metal: 金属
whether: ～かどうか
push: 押す
seven: 七
paragraph: 段落
third: 三番目
shall: ～するべきです
held: 開催された
hair: 髪
describe: 描写する
cook: 料理する
floor: 床
either: どちらか
result: 結果
burn: 燃やす
hill: 丘
safe: 安全な
cat: 猫
century: 世紀
consider: 考える
type: タイプ
law: 法律
bit: 少し
coast: 海岸
copy: コピー
phrase: フレーズ
silent: 静かな
tall: 背の高い
sand: 砂
soil: 土壌
roll: ロール
temperature: 温度
finger: 指
industry: 産業
value: 値
fight: 闘い
lie: 嘘をつく
beat: 打つ
excite: 興奮させる
natural: 自然の
view: 見解
sense: 感じ
ear: 耳
else: 他の
quite: かなり
broke: 壊れた
case: 場合
middle: 中間
kill: 殺す
son: 息子
lake: 湖
moment: 瞬間
scale: スケール
loud: 大声の
spring: 春
observe: 観察する
child: 子供
straight: 真っすぐ
consonant: 子音
nation: 国
dictionary: 辞書
milk: 牛乳
speed: 速度
method: 方法
organ: 器官
pay: 支払う
age: 年齢
section: セクション
dress: ドレス
cloud: 雲
surprise: 驚き
quiet: 静かな
stone: 石
tiny: 小さな
climb: 登る
cool: 涼しい
design: デザイン
poor: 貧しい
lot: 多く
experiment: 実験
bottom: 底
key: キー
iron: 鉄
single: 一つの
stick: スティック
flat: 平らな
twenty: 二十
skin: 皮膚
smile: 微笑み
crease: しわ
hole: 穴
trade: 貿易
melody: メロディ
trip: 旅行
office: オフィス
receive: 受け取る
row: 列
mouth: 口
exact: 正確な
symbol: シンボル
die: 死ぬ
least: 少なくとも
trouble: トラブル
shout: 叫ぶ
except: ～以外
wrote: 書いた
seed: 種
tone: 音
join: 参加する
suggest: 提案する
clean: きれいにする
break: 壊す
lady: 女性
yard: ヤード
rise: 上がる
bad: 悪い
blow: 吹く
oil: 油
blood: 血
touch: 触れる
grew: 成長した
cent: セント
mix: 混ぜる
team: チーム
wire: ワイヤー
cost: 費用
lost: 失われた
brown: 茶色
wear: 着る
garden: 庭
equal: 同じ
sent: 送られた
choose: 選ぶ
fell: 倒れた
fit: 合う
flow: 流れ
fair: 公平な
bank: 銀行
collect: 集める
save: 保存する
control: 制御する
decimal: 小数
gentle: 優しい
woman: 女性
captain: キャプテン
practice: 練習
separate: 別々の
difficult: 難しい
doctor: 医者
please: お願いします
protect: 守る
noon: 正午
whose: ～の
locate: 見つける
ring: リング
character: キャラクター
insect: 昆虫
caught: 捕まえた
period: 期間
indicate: 示す
radio: ラジオ
spoke: 話した
atom: 原子
human: 人間
history: 歴史
effect: 効果
electric: 電気
expect: 期待する
crop: 作物
modern: 現代の
element: 要素
hit: 打つ
student: 学生
corner: 角
party: パーティ
supply: 供給
bone: 骨
rail: レール
imagine: 想像する
provide: 提供する
agree: 同意する
thus: したがって
capital: 資本
won't: ～しないでしょう
chair: 椅子
danger: 危険
fruit: 果物
rich: 豊かな
thick: 厚い
soldier: 兵士
process: プロセス
operate: 運転する
guess: 推測
necessary: 必要な
sharp: 鋭い
wing: 翼
create: 作成する
neighbor: 隣人
wash: 洗う
bat: バット
rather: むしろ
crowd: 群衆
corn: とうもろこし
compare: 比較する
poem: 詩
string: 文字列
bell: ベル
depend: 依存する
meat: 肉
rub: こする
tube: チューブ
famous: 有名な
dollar: ドル
stream: ストリーム
fear: 恐れ
sight: 見ること
thin: 薄い
triangle: 三角形
planet: 惑星
hurry: 急ぐ
chief: 首席
colony: 植民地
clock: 時計
mine: 鉱山
tie: ネクタイ
enter: 入る
major: メジャー
fresh: 新鮮な
search: 検索
send: 送信
yellow: 黄色
gun: 銃
allow: 許可する
print: 印刷
dead: 死んだ
spot: スポット
desert: 砂漠
suit: スーツ
current: 現在の
lift: 上げる
rose: バラ
continue: 続ける
block: ブロック
chart: チャート
hat: 帽子
sell: 売る
success: 成功
company: 会社
subtract: 引く
event: イベント
particular: 特定の
deal: 対応する
swim: 泳ぐ
term: 期間
opposite: 反対の
wife: 妻
shoe: 靴
shoulder: 肩
spread: 広がる
arrange: 配置する
camp: キャンプ
invent: 発明する
cotton: 綿
born: 生まれた
determine: 決定する
quart: クォート
nine: 九
truck: トラック
noise: 騒音
level: レベル
chance: チャンス
gather: 集める
shop: ショップ
stretch: 伸ばす
throw: 投げる
shine: 輝く
property: 財産
column: カラム
molecule: 分子
select: 選ぶ
wrong: 間違った
gray: 灰色
repeat: 繰り返す
require: 要求する
broad: 幅広い
prepare: 準備する
salt: 塩
nose: 鼻
plural: 複数形
anger: 怒り
claim: 主張する
continent: 大陸
oxygen: 酸素
sugar: 砂糖
death: 死
pretty: かわいい
skill: スキル
women: 女性
season: シーズン
solution: 解決
magnet: 磁石
silver: 銀
thank: 感謝する
branch: 支部
match: マッチ
suffix: 接尾辞
especially: 特に
fig: イチジク
afraid: 恐れて
huge: 巨大な
sister: 姉妹
steel: 鋼
discuss: 議論する
forward: 前方
similar: 類似の
guide: ガイド
experience: 経験
score: スコア
apple: リンゴ
bought: 買った
led: 導いた
pitch: ピッチ
coat: コート
mass: かたまり
card: カード
band: バンド
rope: ロープ
slip: 滑る
win: 勝つ
dream: 夢
evening: 夕方
condition: 条件
feed: 餌をやる
tool: ツール
total: 合計
basic: 基本的な
smell: 匂い
valley: 谷
nor: また
double: 二重
seat: 席
arrive: 到着する
master: マスター
track: トラック
parent: 親
shore: 岸
division: 分割
sheet: シート
substance: 物質
favor: 好意
connect: 接続する
post: ポスト
spend: 過ごす
chord: コード
fat: 脂肪
glad: 喜んで
original: オリジナル
share: 共有
station: 駅
dad: パパ
bread: パン
charge: 料金
proper: 適切な
bar: バー
offer: 提供
segment: セグメント
slave: 奴隷
duck: アヒル
instant: 瞬時
market: 市場
degree: 度
populate: 住む
chick: ひな
dear: かわいい
enemy: 敵
reply: 返信
drink: 飲む
occur: 発生する
support: サポート
speech: スピーチ
nature: 自然
range: 範囲
steam: 蒸気
motion: 動き
path: パス
liquid: 液体
log: ログ
meant: 意味した
quotient: 商
teeth: 歯
shell: シェル
neck: 首 
